# CosIng Ingredients-Fragrance Inventory v2 (EU Commission open data); official CSV export dated 2020-12-30 (data last update 2020-12-15), retrieved via Internet Archive snapshot 20201230181855
# columns: inci_name,functions (functions ';'-separated, lowercase)
inci_name,functions
1-ISOPROPYL-4-METHYLBICYCLOOCTENE-2-CARBALDEHYDE,perfuming
1-METHYL-4-METHYLETHENYL-CYCLOHEXENE SULFURIZED,perfuming
1-METHYL-4-METHYLVINYL-CYCLOHEXANOL,perfuming
1-METHYL-4-METHYLVINYL-CYCLOHEXENE,perfuming
1-METHYL-4-METHYLVINYL-CYCLOHEXYL ACETATE,perfuming
1-METHYLDECYL ACETATE,perfuming
1-METHYLHYDANTOIN-2-IMIDE,skin conditioning
1-NAPHTHALENEACETIC ACID,skin conditioning
1-NAPHTHOL,hair dyeing
1-NITROPROPANE,solvent
1-NONEN-3-OL,perfuming
1-PENTEN-3-OL,perfuming
1-PHENYLPROPYL ACETATE,perfuming
1-TRIMETHYL-2-CYCLOHEXENYL-1-PENTEN-3-ONE,perfuming
1-TRIMETHYL-3-CYCLOHEXENYLETHANONE,perfuming
"10-HYDROXY-1,8-P-MENTHADIENE",perfuming
10-HYDROXYDECANOIC ACID,skin conditioning
10-HYDROXYDECENOIC ACID,skin conditioning
10-HYDROXYSTEARIC ACID,skin conditioning;skin protecting
10-UNDECENYL ACETATE,perfuming
16-ALPHA ETHYL ESTRADIOLCARBOXYLATE,skin conditioning;skin conditioning - emollient;skin protecting
16-BETA METHYL ESTRADIOLPROPANOATE,skin conditioning;skin conditioning - emollient;skin protecting
2'-DEOXYADENOSINE,hair conditioning
"2,2'-METHYLENEBIS-4-AMINOPHENOL",hair dyeing
"2,2'-METHYLENEBIS-4-AMINOPHENOL HCL",hair dyeing
"2,2'-THIOBIS(4-CHLOROPHENOL)",antimicrobial
"2,2-DIMETHYL-3-PHENYLPROPIONALDEHYDE",perfuming
"2,3,4,4A,5,6,7,8-OCTAHYDRO-2,5,5-TRIMETHYL-2-NAPHTHOL",perfuming
"2,3,6-TRIMETHYLCYCLOHEXYLMETHYL ACETATE",perfuming
"2,3,6-TRIMETHYLPHENOL",perfuming
"2,3-BUTANEDIOL",fragrance;humectant;skin conditioning;solvent
"2,3-DIAMINODIHYDROPYRAZOLO PYRAZOLONE DIMETHOSULFONATE",hair dyeing
"2,3-DIETHYLPYRAZINE",perfuming
"2,3-DIHYDRO-2,2,6-TRIMETHYLBENZALDEHYDE",perfuming
"2,3-DIMETHYL-2-NONENENITRILE",perfuming
"2,3-DIMETHYL-4-(2,6,6-TRIMETHYL-1-CYCLOHEXENYL)-2-BUTENAL",perfuming
"2,3-DIMETHYL-4-FORMYL-1-PHENYL-5-PYRAZOLONE",hair dyeing
"2,3-EPOXYPROPYL COCODIMONIUM CHLORIDE",not reported
"2,3-EPOXYPROPYL LAURYLDIMONIUM CHLORIDE",not reported
"2,3-EPOXYPROPYLTRIMONIIUM CHLORIDE",not reported
"2,3-NAPHTHALENEDIOL",hair dyeing
"2,3-XYLENOL",perfuming
"2,4,6-TRIMETHYL-3-CYCLOHEXENECARBALDEHYDE",perfuming
"2,4,6-TRIMETHYL-3-CYCLOHEXENYL-4-PENTEN-3-ONE",perfuming
"2,4,6-TRIMETHYL-4-PHENYL-1,3-DIOXANE",perfuming
"2,4,6-TRIMETHYLCYCLOHEXYLMETHYL ACETATE",perfuming
"2,4-DIAMINO-5-METHYLPHENETOLE HCL",hair dyeing
"2,4-DIAMINO-5-METHYLPHENOXYETHANOL",hair dyeing
"2,4-DIAMINO-5-METHYLPHENOXYETHANOL HCL",hair dyeing
"2,4-DIAMINODIPHENYLAMINE",hair dyeing
"2,4-DIAMINOPHENOL",hair dyeing
"2,4-DIAMINOPHENOL HCL",hair dyeing
"2,4-DIAMINOPHENOXYETHANOL HCL",hair dyeing
"2,4-DIAMINOPHENOXYETHANOL SULFATE",hair dyeing
"2,4-DIETHYLPHENYL METHYL KETONE",perfuming
"2,4-DIMETHYL CYCLOHEXENECARBONITRILE",perfuming
"2,4-DIMETHYL-2-(5,6,7,8-TETRAHYDRO-3,5,5,6,8,8-HEXAMETHYL-2-NAPHTHALENYL)-1,3-DIOXOLANE",perfuming
"2,4-DIMETHYL-3-CYCLOHEXENE CARBOXALDEHYDE",fragrance;perfuming;tonic
"2,4-DIMETHYL-3-CYCLOHEXENE-1-METHANOL",perfuming
"2,4-DIMETHYL-3-CYCLOHEXENE-1-METHYLACETATE",perfuming
"2,4-DIMETHYL-4,4A,5,9B-TETRAHYDROINDENO-1,3-DIOXIN",perfuming
"2,4-DIMETHYL-4-PHENYLTETRAHYDROFURAN",perfuming
"2,4-DIMETHYLBENZYLACETATE",perfuming
"2,4-DIMETHYLCYCLOHEXYLMETHYL ACETATE",perfuming
"2,4-DIMETHYLHEPTA-2,2-DIENAL",perfuming
"2,4-DIMETHYLPYRIDINE",perfuming
"2,4-HEXADIENAL",perfuming
"2,4-HEXADIENOL",perfuming
"2,4-HEXADIENYL ACETATE",perfuming
"2,4-XYLENOL",perfuming
"2,5,5-TRIMETHYL-2-PHENYL-1,3-DIOXANE",perfuming
"2,5,6-TRIAMINO-4-PYRIMIDINOL SULFATE",hair dyeing
"2,5,6-TRIMETHYL-2-CYCLOHEXENONE",perfuming
"2,5-DIHYDRO-4-METHYLTHIAZOL-5-ETHANOL",perfuming
"2,5-DIHYDROXYBENZOIC ACID",skin conditioning
"2,5-DIHYDROXYBENZOYL DIPEPTIDE-27",humectant;skin conditioning;skin conditioning - emollient;skin protecting
"2,5-DIHYDROXYBENZOYL DIPEPTIDE-48",humectant;skin conditioning;skin conditioning - emollient;skin protecting
"2,5-DIMETHYL-2-VINYLHEX-4-ENAL",perfuming
"2,5-DIMETHYLPYRAZINE",perfuming
"2,5-XYLENOL",perfuming
"2,6,6-TRIMETHYL-1-CYCLOHEXENE-1-ACETALDEHYDE",perfuming
"2,6,6-TRIMETHYL-2-CYCLOHEXENE-1-ACETALDEHYDE",perfuming
"2,6,6-TRIMETHYL-2-CYCLOHEXENE-1-CARBALDEHYDE",perfuming
"2,6,6-TRIMETHYLCYCLOHEXENE-1-CARBALDEHYDE",perfuming
"2,6-BIS(2-HYDROXYETHOXY)-3,5-PYRIDINEDIAMINE HCL",hair dyeing
"2,6-DIAMINO-3-((PYRIDIN-3-YL)AZO)PYRIDINE",hair dyeing
"2,6-DIAMINOPYRIDINE",hair dyeing
"2,6-DIAMINOPYRIDINE SULFATE",hair dyeing
"2,6-DICARBOXYPYRIDINE",chelating
"2,6-DIHYDROXY-3,4-DIMETHYLPYRIDINE",hair dyeing
"2,6-DIHYDROXYETHYLAMINOTOLUENE",hair dyeing
"2,6-DIMETHOXY-3,5-PYRIDINEDIAMINE HCL",hair dyeing
"2,6-DIMETHYL-4-HEPTANOL",perfuming
"2,6-DIMETHYL-4-HEPTANONE",perfuming
"2,6-DIMETHYL-7-OCTEN-2-OL",fragrance;perfuming
"2,6-DIMETHYL-P-PHENYLENEDIAMINE",hair dyeing
"2,6-DIMETHYL-P-PHENYLENEDIAMINE HCL",hair dyeing
"2,6-DIMETHYLHEPTA-1,5-DIENE",perfuming
"2,6-DIMETHYLHEPTANOL",perfuming
"2,6-DIMETHYLPYRAZINE",perfuming
"2,6-XYLENOL",perfuming
"2,7-DIMETHYL-10-ISOPROPYL-1-OXASPIRO-3,6-DECADIENE",perfuming
"2,7-DIMETHYL-5-OCTEN-4-ONE",perfuming
"2,7-DIMETHYL-6-OCTEN-4-ONE",perfuming
"2,7-NAPHTHALENEDIOL",hair dyeing
2-(1-ETHYLPROPYL)PYRIDINE,perfuming
2-(2-AMINOETHOXY)ETHANOL,hair fixing
2-ACETONAPHTHONE,fragrance;perfuming
2-ACETYLHYDROQUINONE,antioxidant;bleaching;skin conditioning
2-ACRYLAMIDO-2-METHYLPROPANE SULFONIC ACID,not reported
2-ALLYLOXYETHOXY GLUCOSIDE,not reported
2-AMINO-3-HYDROXYPYRIDINE,hair dyeing
2-AMINO-3-NITROPHENOL,hair dyeing
"2-AMINO-4,5-DIMETHYLTHIAZOLE HBR",skin conditioning
2-AMINO-4-HYDROXYETHYLAMINOANISOLE,hair dyeing
2-AMINO-4-HYDROXYETHYLAMINOANISOLE SULFATE,hair dyeing
2-AMINO-4-NITROPHENOL,hair dyeing
2-AMINO-4-NITROPHENOL SULFATE,hair dyeing
2-AMINO-5-ETHYLPHENOL HCL,hair dyeing
2-AMINO-5-NITROPHENOL,hair dyeing
2-AMINO-6-CHLORO-4-NITROPHENOL,hair dyeing
2-AMINOBUTANOL,buffering
2-AMINOMETHYL-P-AMINOPHENOL HCL,hair dyeing
2-BENZYLHEPTANOL,fragrance;perfuming
"2-BROMO-2-NITROPROPANE-1,3-DIOL",preservative
2-CAPRYLOYL CAPRYLOYL METHYL ALANINATE,anti-sebum;hair conditioning;skin conditioning;skin conditioning - emollient;skin protecting
2-CARENYL METHYL KETONE,perfuming
2-CHLORO-5-NITRO-N-HYDROXYETHYL-P-PHENYLENEDIAMINE,hair dyeing
2-CHLORO-6-ETHYLAMINO-4-NITROPHENOL,hair dyeing
2-CHLORO-P-PHENYLENEDIAMINE,hair dyeing
2-CHLORO-P-PHENYLENEDIAMINE SULFATE,hair dyeing
2-CYANOMETHYL BENZIMIDAZOLE,hair dyeing
2-CYCLOHEXENYL CYCLOHEXANONE,perfuming
2-CYCLOHEXYLETHYL ACETATE,flavouring;fragrance
2-DECENAL,perfuming
2-DECENOL,perfuming
2-DIMETHYLBICYCLOHEPT-2-YLIDENE ETHANOL,perfuming
"2-DIMETHYLCYCLOHEXENYL-5-METHYL-5-METHYLPROPYL-1,3-DIOXANE",perfuming
2-DODECENAL,perfuming
2-DODECENOL,perfuming
"2-ETHOXY-2,6,6-TRIMETHYL-9-METHYLENEBICYCLO[3.3.1]NONANE",perfuming
"2-ETHYL-1,3,3-TRIMETHYLBICYCLO[2.2.1]HEPTAN-2-OL",perfuming
2-ETHYL-2-(3-METHYLBUT-2-ENYL)HEX-3-ENOL,perfuming
"2-ETHYL-3,(5 OR 6)-DIMETHYLPYRAZINE",perfuming
"2-ETHYL-3,5-DIMETHYLPYRAZINE",perfuming
2-ETHYL-3-METHYLPYRAZINE,perfuming
2-ETHYL-4-HYDROXY-5-METHYLFURAN-3(2H)-ONE,perfuming
2-ETHYL-5-METHOXY-BICYCLOHEPTANE,perfuming
2-ETHYLBUTANOL,perfuming
2-ETHYLBUTYL CYCLOPENT-1-ENEACETATE,perfuming
2-ETHYLBUTYL CYCLOPENT-2-ENEACETATE,perfuming
2-ETHYLBUTYRIC ACID,perfuming
2-ETHYLHEXANOL,not reported
2-ETHYLHEXYLAL,solvent
2-ETHYLIDENEDECANAL,perfuming
"2-ETHYLPENTYL-1,3-DIOXOLANE",perfuming
2-FURANCARBALDEHYDE/HEPTANAL HYDROGENATED,perfuming
2-FURFURYLENEOCTANAL,perfuming
2-FURYL METHYL KETONE,perfuming
2-FURYLMETHANETHIOL,perfuming
2-HEPTANOL,perfuming
2-HEPTYLCYCLOPENTANONE,fragrance;perfuming
2-HEPTYLFURAN,perfuming
2-HEPTYLIDENECYCLOPENTANONE,perfuming
2-HEXANOL,perfuming
2-HEXENOL,perfuming
"2-HEXYL-1,3-DIOXANOL",perfuming
"2-HEXYL-1,3-DIOXOLANE",perfuming
"2-HEXYL-1,3-DIOXOLANE-4-METHANOL",perfuming
2-HEXYLIDENECYCLOHEXAN-1-ONE,perfuming
2-HEXYLIDENECYCLOPENTANONE,perfuming
2-HEXYLOXY-P-PHENYLENEDIAMINE HCL,hair dyeing
2-HEXYLOXYCARBONYL-P-PHENYLENEDIAMINE HCL,hair dyeing
2-HYDROXYETHYL ACRYLATE,film forming
2-HYDROXYETHYL PICRAMIC ACID,hair dyeing
2-HYDROXYETHYLAMINO-5-NITROANISOLE,hair dyeing
2-HYDROXYPROPYL ACRYLATE,film forming
2-HYDROXYPROPYLCARBAMATO AMODIMETHICONE,hair conditioning
2-ISOBUTYLQUINOLINE,perfuming
2-ISOPENTENAL,perfuming
2-ISOPENTENYL PHENETHYL ETHER,perfuming
2-ISOPENTENYL SALICYLATE,perfuming
2-ISOPROPYL-4-METHYLANISOLE,perfuming
2-ISOPROPYL-5-METHYLANISOLE,perfuming
2-M-CRESYLETHANOL,perfuming
2-MELOZOL ACETATE,perfuming
2-MELOZOL FORMATE,perfuming
2-METHOXY-3-METHYLPYRAZINE,perfuming
2-METHOXY-4-METHOXYMETHYL-PHENOL,perfuming
2-METHOXY-P-CRESOL,perfuming
2-METHOXY-P-PHENYLENEDIAMINE SULFATE,hair dyeing
2-METHOXYMETHYL-P-AMINOPHENOL HCL,hair dyeing
2-METHOXYMETHYL-P-PHENYLENEDIAMINE,hair dyeing
2-METHOXYMETHYL-P-PHENYLENEDIAMINE SULFATE,hair dyeing
"2-METHOXYPHENOL/2,2-DIMETHYL-3-METHYLENEBICYCLO-HEPTANE HYDROGENATED",perfuming
2-METHYL 5-CYCLOHEXYLPENTANOL,deodorant;skin conditioning;skin protecting
2-METHYL 5-PHENYLPENTANOL,fragrance
"2-METHYL-1,5-DIOXASPIROUNDECANE",perfuming
2-METHYL-1-NAPHTHOL,hair dyeing
2-METHYL-2-BUTENOL,perfuming
2-METHYL-2-OCTANOL,perfuming
"2-METHYL-3-(1,7,7-TRIMETHYLBICYCLOHEPT-2-YLOXY)-PROPANOL",perfuming
2-METHYL-3-BUTEN-2-OL,perfuming
2-METHYL-3-OXOPROPOXY-PYRAN-4-ONE,perfuming
2-METHYL-3-P-CRESYL-PROPIONALDEHYDE,perfuming
"2-METHYL-4-(2,2,3-TRIMETHYL-3-CYCLOPENTENYL)-2-BUTEN-1-OL",perfuming
"2-METHYL-4-(2,6,6-TRIMETHYL-1-CYCLOHEXENYL)-2-BUTENAL",perfuming
"2-METHYL-4-(2,6,6-TRIMETHYL-2-CYCLOHEXENYL)-2-BUTENAL",perfuming
"2-METHYL-4-(2,6,6-TRIMETHYL-2-CYCLOHEXENYL)-3-BUTENAL",perfuming
2-METHYL-4-HYDROXYPYRROLIDINE,skin conditioning - miscellaneous
2-METHYL-5-HYDROXYETHYLAMINOPHENOL,hair dyeing
2-METHYL-5-METHYLVINYL-CYCLOHEXANOL,perfuming
2-METHYLBENZOXAZOLE,perfuming
2-METHYLBUTANE-2-THIOL,perfuming
2-METHYLBUTANOL,perfuming
2-METHYLBUTYL BUTYRATE,perfuming
2-METHYLBUTYL ISOVALERATE,perfuming
2-METHYLBUTYRALDEHYDE,perfuming
2-METHYLBUTYRIC ACID,perfuming
